"",,,,Historically,,,,,,,,,,,,,,,
"",,,,black,,,,,,,,,,,,,,,
"",,Evangelical,Mainline,Protestant,,,Orthodox,Jehovah's,Other,,,,,Other world,,,,,Sample
"",,tradition,tradition,tradition,Catholic,Mormon,Christian,Witness,Christian,Jewish,Muslim,Buddhist,Hindu,religions,Other faiths,Unaffiliated,DK/Ref.,Total,size
"",,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Total United States,2014,25,15,6,21,2,*,1,*,2,1,1,1,*,2,23,1,100,"35,071"
"",2007,26,18,7,24,2,1,1,*,2,*,1,*,*,1,16,1,100,"35,556"
Northeast,2014,13,15,5,30,1,1,1,*,4,1,1,1,*,2,25,1,100,"6,516"
"",2007,13,19,5,37,*,1,1,*,4,1,1,1,*,1,16,1,100,"6,556"
Connecticut,2014,13,17,5,33,1,1,*,1,3,1,1,1,*,2,23,1,100,377
"",2007,9,13,4,43,1,1,1,*,1,*,*,*,*,2,22,1,100,369
Maine,2014,14,21,2,21,2,*,*,1,2,*,1,*,*,5,31,2,100,303
"",2007,15,26,*,29,1,*,1,*,*,*,1,*,*,2,25,*,100,245
Massachusetts,2014,9,10,2,34,1,1,*,*,3,1,1,1,*,2,32,1,100,704
"",2007,11,15,2,43,*,1,*,*,3,*,1,1,*,2,17,1,100,748
New Hampshire,2014,13,16,1,26,1,*,2,*,2,*,*,*,*,3,36,*,100,303
"",2007,14,19,*,29,1,*,*,*,2,*,1,*,*,6,27,*,100,189
New Jersey,2014,13,12,6,34,1,1,1,*,6,3,*,3,1,1,18,1,100,886
"",2007,12,13,5,42,*,1,*,*,6,1,1,2,*,1,12,2,100,932
New York,2014,10,11,5,31,*,1,1,*,7,2,1,1,*,2,27,1,100,"1,966"
"",2007,11,16,5,39,*,1,1,*,6,1,1,1,*,1,17,1,100,"1,933"
Pennsylvania,2014,19,23,5,24,*,*,1,*,1,1,*,1,*,2,21,1,100,"1,366"
"",2007,18,25,7,29,*,1,1,*,2,*,*,*,*,1,13,1,100,"1,896"
Rhode Island,2014,14,14,2,42,1,*,2,*,1,*,*,1,1,1,20,1,100,305
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Vermont,2014,11,19,*,22,*,1,*,*,2,*,1,1,1,3,37,2,100,306
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
