"",,,,Historically,,,,,,,,,,,,,,,
"",,,,black,,,,,,,,,,,,,,,
"",,Evangelical,Mainline,Protestant,,,Orthodox,Jehovah's,Other,,,,,Other world,,,,,
"",,tradition,tradition,tradition,Catholic,Mormon,Christian,Witness,Christian,Jewish,Muslim,Buddhist,Hindu,religions,Other faiths,Unaffiliated,DK/Ref.,Total,Sample size
"",,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Total United States,2014,25,15,6,21,2,*,1,*,2,1,1,1,*,2,23,1,100,"35,071"
"",2007,26,18,7,24,2,1,1,*,2,*,1,*,*,1,16,1,100,"35,556"
South,2014,34,14,11,15,1,*,1,*,1,1,*,*,*,1,19,*,100,"12,566"
"",2007,37,17,11,16,1,*,1,*,1,*,*,*,*,1,13,1,100,"12,643"
Alabama,2014,49,13,16,7,1,*,*,*,*,*,*,*,*,1,12,1,100,511
"",2007,49,15,18,6,*,*,1,*,*,*,*,*,*,1,8,1,100,681
Arkansas,2014,46,16,8,8,1,*,*,*,*,2,*,*,*,1,18,*,100,311
"",2007,53,16,10,5,*,*,1,1,*,*,*,*,*,*,13,*,100,378
Delaware,2014,15,21,10,22,*,1,*,*,3,1,*,2,*,1,23,1,100,301
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
District of Columbia,2014,8,10,23,20,2,1,*,*,5,2,*,1,*,1,25,1,100,303
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Florida,2014,24,14,8,21,1,*,1,1,3,*,*,*,*,2,24,*,100,"2,020"
"",2007,25,15,8,26,*,1,1,*,3,1,*,*,*,1,16,1,100,"1,694"
Georgia,2014,38,12,17,9,1,*,2,*,1,*,*,*,*,2,18,1,100,968
"",2007,38,16,16,12,1,*,1,*,1,*,*,*,*,*,13,*,100,967
Kentucky,2014,49,11,5,10,*,*,*,*,*,*,*,*,*,2,22,*,100,439
"",2007,49,17,5,14,*,*,*,*,*,*,*,*,*,1,12,1,100,599
Louisiana,2014,27,8,22,26,*,*,1,1,*,*,1,*,*,1,13,*,100,465
"",2007,31,9,20,28,*,*,1,*,*,1,1,*,*,*,8,*,100,528
Maryland,2014,18,18,16,15,1,1,*,1,3,1,1,1,*,2,23,*,100,644
"",2007,15,22,17,19,*,*,1,*,5,1,1,1,*,1,17,1,100,677
Mississippi,2014,41,12,24,4,1,*,*,*,*,*,*,*,*,1,14,1,100,309
"",2007,47,11,23,9,1,*,1,*,*,*,*,*,*,1,6,1,100,333
North Carolina,2014,35,19,12,9,1,1,1,*,1,*,*,*,*,1,20,*,100,"1,022"
"",2007,41,21,13,9,*,*,*,*,*,*,1,*,*,1,12,1,100,"1,166"
Oklahoma,2014,47,18,4,8,1,*,*,*,*,*,*,*,*,1,18,1,100,391
"",2007,53,16,3,12,*,*,*,*,*,*,1,*,*,1,12,1,100,465
South Carolina,2014,35,16,15,10,1,1,1,*,1,*,*,*,*,1,19,1,100,495
"",2007,45,18,15,8,*,1,1,*,1,*,*,*,*,1,10,*,100,570
Tennessee,2014,52,13,8,6,1,*,1,*,1,1,1,*,*,1,14,1,100,661
"",2007,51,18,8,7,1,*,*,*,*,1,*,*,*,1,12,1,100,837
Texas,2014,31,13,6,23,1,*,1,1,1,1,1,*,*,1,18,*,100,"2,535"
"",2007,34,15,8,24,1,*,1,*,1,*,1,1,*,1,12,*,100,"2,266"
Virginia,2014,30,16,12,12,2,1,*,*,1,1,1,*,*,1,20,*,100,882
"",2007,31,20,10,14,1,1,*,*,1,*,1,1,*,1,18,1,100,997
West Virginia,2014,39,29,2,6,2,*,*,*,1,1,*,*,*,1,18,1,100,309
"",2007,36,32,2,7,*,*,*,*,1,*,*,1,0,0,19,1,100,296
